epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.7152,0.59381,3.07328,0.89423,0.00274,0.84615,0.55897,0.49353,0.43208,3.81019,0.91508,0.000462724,0.000462724,0.000462724
2,159.607,0.63453,2.11339,0.9095,0.86345,0.28085,0.41968,0.32584,0.7404,3.67845,1.02514,0.000927436,0.000927436,0.000927436
3,236.365,0.66795,1.74154,0.93149,0.83424,0.6973,0.8626,0.73642,0.58725,2.78646,0.91829,0.00138036,0.00138036,0.00138036
4,315.766,0.67367,1.75637,0.94147,0.85376,0.6386,0.7779,0.59961,0.64482,2.46143,0.95558,0.00137595,0.00137595,0.00137595
5,396.8,0.67619,1.59159,0.94786,0.76179,0.7132,0.78286,0.64168,0.65868,2.34202,0.99628,0.00135826,0.00135826,0.00135826
6,476.113,0.64313,1.53348,0.95462,0.9477,0.84858,0.95803,0.81453,0.59508,1.83524,0.95643,0.00134058,0.00134058,0.00134058
7,551.523,0.64393,1.4346,0.93201,0.76503,0.80427,0.90293,0.71889,0.56532,1.97034,0.91082,0.0013229,0.0013229,0.0013229
8,626.859,0.59525,1.24481,0.90852,0.94707,0.94473,0.96665,0.82545,0.55562,1.39714,0.92654,0.00130521,0.00130521,0.00130521
9,703.169,0.55839,1.26182,0.86642,0.94096,0.94872,0.96107,0.83175,0.56008,1.41574,0.94939,0.00128753,0.00128753,0.00128753
10,779.842,0.56219,1.07805,0.89232,0.9745,0.93076,0.96032,0.84725,0.50473,1.34176,0.89511,0.00126985,0.00126985,0.00126985
11,856.524,0.54436,1.05255,0.86598,0.97582,0.96632,0.97174,0.89613,0.44559,1.17444,0.8658,0.00125216,0.00125216,0.00125216
12,938.356,0.54184,0.98751,0.90238,0.97123,0.94574,0.96641,0.85681,0.44366,1.0311,0.88367,0.00123448,0.00123448,0.00123448
13,1016.04,0.51555,0.90672,0.90005,0.93313,0.96078,0.95313,0.83549,0.41996,1.09574,0.88045,0.00121679,0.00121679,0.00121679
14,1093.69,0.56786,0.93344,0.92439,0.93633,0.9246,0.95934,0.86288,0.45379,1.18783,0.89729,0.00119911,0.00119911,0.00119911
15,1170.5,0.55283,0.95416,0.9005,0.94997,0.94872,0.95974,0.87043,0.44664,0.98891,0.89264,0.00118143,0.00118143,0.00118143
16,1248.02,0.4888,0.94314,0.86751,0.89623,0.96084,0.95589,0.8065,0.46603,0.93861,0.91102,0.00116374,0.00116374,0.00116374
17,1325.71,0.47875,0.8716,0.87089,0.90905,0.97436,0.96468,0.88026,0.42403,0.99237,0.88977,0.00114606,0.00114606,0.00114606
18,1402.65,0.49373,0.7612,0.86241,0.93252,0.96067,0.96979,0.89483,0.41507,0.80416,0.86012,0.00112837,0.00112837,0.00112837
19,1480.36,0.51433,0.73183,0.90175,0.94607,0.96918,0.96991,0.89281,0.39725,0.78518,0.85746,0.00111069,0.00111069,0.00111069
20,1557.31,0.47979,0.72262,0.85408,0.95935,0.97436,0.96997,0.91211,0.38631,0.76743,0.87375,0.00109301,0.00109301,0.00109301
21,1634.73,0.50133,0.67225,0.87424,0.96717,0.94027,0.97023,0.93056,0.36904,0.73662,0.86292,0.00107532,0.00107532,0.00107532
22,1713.04,0.48755,0.67713,0.88895,0.96481,0.97436,0.96815,0.91897,0.36402,0.6877,0.85739,0.00105764,0.00105764,0.00105764
23,1790.29,0.45021,0.6083,0.86593,0.90858,0.96842,0.9661,0.89629,0.36047,0.69135,0.84109,0.00103995,0.00103995,0.00103995
24,1866.04,0.46535,0.61497,0.86765,0.93068,0.96952,0.96055,0.90304,0.3668,0.65568,0.84851,0.00102227,0.00102227,0.00102227
25,1943.08,0.46785,0.60451,0.8674,0.93568,0.97436,0.9633,0.92403,0.35704,0.66976,0.8612,0.00100459,0.00100459,0.00100459
26,2019.36,0.436,0.57174,0.85015,0.9424,0.9438,0.9652,0.9201,0.36709,0.63642,0.85342,0.000986903,0.000986903,0.000986903
27,2096.77,0.41892,0.54692,0.85634,0.931,0.94872,0.93925,0.89269,0.3444,0.61602,0.85542,0.000969219,0.000969219,0.000969219
28,2174.7,0.40797,0.5242,0.86068,0.93715,0.92898,0.9569,0.92394,0.31809,0.55725,0.84298,0.000951535,0.000951535,0.000951535
29,2251.11,0.41108,0.51632,0.84531,0.92017,0.91185,0.9513,0.88518,0.36127,0.61666,0.8572,0.000933851,0.000933851,0.000933851
30,2328.17,0.42757,0.55788,0.87172,0.90505,0.95275,0.95673,0.88748,0.34764,0.61377,0.85336,0.000916168,0.000916168,0.000916168
31,2405.27,0.3991,0.50845,0.82102,0.8541,0.94872,0.93776,0.90418,0.34495,0.62859,0.84775,0.000898484,0.000898484,0.000898484
32,2481.8,0.40096,0.52492,0.84185,0.91833,0.95553,0.96328,0.91726,0.34722,0.60638,0.84906,0.0008808,0.0008808,0.0008808
33,2558.85,0.4198,0.51755,0.85218,0.95107,0.96499,0.96916,0.91971,0.32115,0.55384,0.8316,0.000863116,0.000863116,0.000863116
34,2635.86,0.38328,0.48273,0.84353,0.94927,0.97436,0.97026,0.92627,0.31906,0.48521,0.82907,0.000845432,0.000845432,0.000845432
35,2711.64,0.40972,0.50389,0.85906,0.96133,0.97005,0.96828,0.91694,0.31152,0.55375,0.82749,0.000827748,0.000827748,0.000827748
36,2787.38,0.37762,0.47819,0.84814,0.96011,0.96922,0.97231,0.92215,0.32457,0.50543,0.84303,0.000810064,0.000810064,0.000810064
37,2862.95,0.39135,0.47573,0.84413,0.92703,0.96123,0.96432,0.90984,0.32691,0.53702,0.85242,0.00079238,0.00079238,0.00079238
38,2938.51,0.39523,0.46259,0.85944,0.96311,0.94662,0.96624,0.90576,0.30977,0.48585,0.83664,0.000774697,0.000774697,0.000774697
39,3014.98,0.35972,0.45481,0.81895,0.96135,0.95513,0.96663,0.91361,0.30819,0.44988,0.83534,0.000757013,0.000757013,0.000757013
40,3092.58,0.3739,0.43431,0.83623,0.95955,0.94872,0.9645,0.93597,0.27345,0.45792,0.82855,0.000739329,0.000739329,0.000739329
41,3169.51,0.37622,0.49477,0.84812,0.93808,0.96457,0.9671,0.94781,0.26624,0.44117,0.82187,0.000721645,0.000721645,0.000721645
42,3246.66,0.34937,0.42725,0.81477,0.94485,0.96642,0.96099,0.91633,0.31706,0.48493,0.83212,0.000703961,0.000703961,0.000703961
43,3323.23,0.35765,0.44332,0.81565,0.94041,0.95589,0.96932,0.90962,0.2794,0.44464,0.8302,0.000686277,0.000686277,0.000686277
44,3399.93,0.37051,0.41934,0.84258,0.96098,0.95321,0.9713,0.94462,0.26799,0.40723,0.82874,0.000668593,0.000668593,0.000668593
45,3477.19,0.36196,0.41475,0.84173,0.94448,0.96091,0.96893,0.93168,0.2877,0.43643,0.8315,0.000650909,0.000650909,0.000650909
46,3553.84,0.36078,0.43223,0.8411,0.88427,0.95492,0.96498,0.9195,0.32105,0.43088,0.84003,0.000633226,0.000633226,0.000633226
47,3629.47,0.34528,0.38858,0.84116,0.95788,0.95502,0.96908,0.93318,0.28531,0.42395,0.82206,0.000615542,0.000615542,0.000615542
48,3704.15,0.36401,0.4193,0.84707,0.95269,0.97433,0.96571,0.94222,0.27405,0.43624,0.82375,0.000597858,0.000597858,0.000597858
49,3778.55,0.36084,0.40541,0.86709,0.9556,0.97436,0.96682,0.93827,0.27474,0.42551,0.82128,0.000580174,0.000580174,0.000580174
50,3853.37,0.33999,0.4018,0.81275,0.94788,0.97436,0.9688,0.94452,0.26871,0.39706,0.81861,0.00056249,0.00056249,0.00056249
51,3928.28,0.33412,0.38879,0.83581,0.94979,0.97436,0.96908,0.9565,0.26647,0.37927,0.81476,0.000544806,0.000544806,0.000544806
52,4003.19,0.33796,0.37579,0.8392,0.96183,0.97436,0.96647,0.94357,0.25867,0.38653,0.81051,0.000527122,0.000527122,0.000527122
53,4078.29,0.31705,0.36305,0.83216,0.96176,0.97316,0.96669,0.94027,0.27341,0.38768,0.82068,0.000509438,0.000509438,0.000509438
54,4153.25,0.32689,0.37455,0.81785,0.95958,0.97436,0.9671,0.94122,0.26081,0.36859,0.81842,0.000491755,0.000491755,0.000491755
55,4228.89,0.36222,0.37751,0.84522,0.96266,0.97436,0.96941,0.94184,0.26164,0.35553,0.81804,0.000474071,0.000474071,0.000474071
56,4304.72,0.35529,0.37788,0.83898,0.9632,0.96912,0.97378,0.95199,0.26486,0.38382,0.82286,0.000456387,0.000456387,0.000456387
57,4381.65,0.33647,0.3523,0.83476,0.96129,0.97074,0.96428,0.93719,0.27176,0.36946,0.82226,0.000438703,0.000438703,0.000438703
58,4458.63,0.33877,0.35968,0.85222,0.95866,0.96513,0.97172,0.94478,0.24717,0.37349,0.81785,0.000421019,0.000421019,0.000421019
59,4534.6,0.36786,0.36786,0.87233,0.96338,0.97087,0.96916,0.94534,0.24672,0.37385,0.81564,0.000403335,0.000403335,0.000403335
60,4608.94,0.30668,0.32779,0.8284,0.96335,0.97086,0.9655,0.93192,0.24621,0.36174,0.81502,0.000385651,0.000385651,0.000385651
61,4684.59,0.328,0.34742,0.84923,0.96125,0.97436,0.97172,0.94245,0.26527,0.36212,0.82192,0.000367967,0.000367967,0.000367967
62,4760.18,0.30754,0.34166,0.83439,0.96455,0.97436,0.97378,0.94934,0.2423,0.35374,0.81637,0.000350284,0.000350284,0.000350284
63,4836.58,0.31728,0.33673,0.83016,0.96442,0.97436,0.97531,0.95735,0.24354,0.33508,0.81385,0.0003326,0.0003326,0.0003326
64,4913.6,0.29335,0.33843,0.82643,0.95726,0.97436,0.96924,0.94684,0.2266,0.34951,0.81114,0.000314916,0.000314916,0.000314916
65,4989.45,0.29033,0.32005,0.81744,0.95958,0.97436,0.97335,0.95462,0.22624,0.35252,0.80937,0.000297232,0.000297232,0.000297232
66,5065.74,0.29188,0.31035,0.82052,0.9598,0.97436,0.97161,0.94767,0.23076,0.33446,0.80766,0.000279548,0.000279548,0.000279548
67,5142.49,0.29361,0.31272,0.8257,0.96076,0.97436,0.96813,0.94134,0.23709,0.33306,0.81169,0.000261864,0.000261864,0.000261864
68,5219.12,0.27896,0.31318,0.82764,0.9624,0.97436,0.96428,0.94221,0.23278,0.31347,0.8104,0.00024418,0.00024418,0.00024418
69,5295.99,0.29188,0.29631,0.82234,0.96326,0.97436,0.96776,0.94162,0.23978,0.31991,0.81433,0.000226497,0.000226497,0.000226497
70,5372.9,0.28805,0.30018,0.82753,0.96307,0.97436,0.96583,0.93642,0.24053,0.31856,0.81132,0.000208813,0.000208813,0.000208813
71,5447.68,0.23976,0.28451,0.7829,0.96301,0.97436,0.97005,0.95148,0.22338,0.30837,0.80982,0.000191129,0.000191129,0.000191129
72,5521.37,0.2395,0.28808,0.79012,0.96242,0.97436,0.97211,0.95369,0.21725,0.30673,0.81016,0.000173445,0.000173445,0.000173445
